"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0.065,9.33,86.6001336718983
0.065,9.34,86.7840444398454
0.065,9.35,86.9636136494909
0.065,9.36,87.1389684033717
0.065,9.37,87.3102296579148
0.065,9.38,87.4775125273159
0.065,9.39,87.6409265677391
0.065,9.4,87.8005760431525
0.065,9.41,87.9565601740031
0.065,9.42,88.1089733698507
0.065,9.43,88.257905446983
0.065,9.44,88.4034418319626
0.065,9.45,88.5456637519768
0.065,9.46,88.6846484127955
0.065,9.47,88.8204691650757
0.065,9.48,88.9531956597017
0.065,9.49,89.08289399278
0.065,9.5,89.2096268408767
0.065,9.51,89.3334535870182
0.065,9.52,89.4544304379509
0.065,9.53,89.5726105331003
0.065,9.54,89.6880440456405
0.065,9.55,89.8007782760447
0.065,9.56,89.9108577384567
0.065,9.57,90.0183242401882
0.065,9.58,90.12321695462
0.065,9.59,90.2255724877532
0.065,9.6,90.3254249386341
0.065,9.61,90.4228059538416
0.065,9.62,90.5177447762151
0.065,9.63,90.6102682879567
0.065,9.64,90.700401048239
0.065,9.65,90.7881653254096
0.065,9.66,90.8735811238714
0.065,9.67,90.9566662056873
0.065,9.68,91.037436106944
0.065,9.69,91.1159041488748
0.065,9.7,91.1920814437344
0.065,9.71,91.2659768953776
0.065,9.72,91.3375971944842
0.065,9.73,91.4069468083398
0.065,9.74,91.4740279650584
0.065,9.75,91.5388406321073
0.065,9.76,91.6013824889639
0.065,9.77,91.6616488937065
0.065,9.78,91.7196328433087
0.065,9.79,91.7753249273714
0.065,9.8,91.8287132749952
0.065,9.81,91.8797834944493
0.065,9.82,91.92851860526
0.065,9.83,91.9748989622862
0.065,9.84,92.0189021713094
0.065,9.85,92.0605029956043
0.065,9.86,92.0996732528996
0.065,9.87,92.1363817020746
0.065,9.88,92.1705939188629
0.065,9.89,92.2022721597574
0.065,9.9,92.2313752132253
0.065,9.91,92.2578582372404
0.065,9.92,92.2816725820406
0.065,9.93,92.3027655968919
0.065,9.94,92.3210804195156
0.065,9.95,92.336555746681
0.065,9.96,92.3491255843115
0.065,9.97,92.3587189752549
0.065,9.98,92.3652597026762
0.065,9.99,92.3686659667917
0.065,10,92.3688500324044
0.065,10.01,92.3657178444147
0.065,10.02,92.3591686081394
0.065,10.03,92.3490943309108
