"lumped_element_capacitance [pF]","Freq [GHz]","mag(S(1,1)) []"
0.065,11.41,0.0334185815424494
0.065,11.42,0.0325733140879247
0.065,11.43,0.0317489159336659
0.065,11.44,0.0309445925861768
0.065,11.45,0.0301595905442763
0.065,11.46,0.0293931947275229
0.065,11.47,0.0286447260963684
0.065,11.48,0.0279135394478322
0.065,11.49,0.0271990213720282
0.065,11.5,0.0265005883562912
0.065,11.51,0.0258176850248888
0.065,11.52,0.0251497825034393
0.065,11.53,0.0244963768981552
0.065,11.54,0.0238569878809585
0.065,11.55,0.0232311573723264
0.065,11.56,0.0226184483144741
0.065,11.57,0.022018443528157
0.065,11.58,0.0214307446469902
0.065,11.59,0.0208549711237355
0.065,11.6,0.0202907593035307
0.065,11.61,0.0197377615594915
0.065,11.62,0.0191956454865628
0.065,11.63,0.0186640931498877
0.065,11.64,0.0181428003843483
0.065,11.65,0.0176314761422762
0.065,11.66,0.0171298418866749
0.065,11.67,0.0166376310276113
0.065,11.68,0.0161545883997541
0.065,11.69,0.015680469779341
0.065,11.7,0.0152150414391703
0.065,11.71,0.0147580797405284
0.065,11.72,0.0143093707612938
0.065,11.73,0.0138687099598108
0.065,11.74,0.0134359018745015
0.065,11.75,0.013010759859602
0.065,11.76,0.0125931058578819
0.065,11.77,0.0121827702117306
0.065,11.78,0.0117795915146241
0.065,11.79,0.0113834165057011
0.065,11.8,0.0109941000110487
0.065,11.81,0.0106115049363262
0.065,11.82,0.0102355023166186
0.065,11.83,0.0098659714309355
0.065,11.84,0.00950279999067132
0.065,11.85,0.0091458844136723
0.065,11.86,0.0087951301984908
0.065,11.87,0.00845045241706449
0.065,11.88,0.00811177634869599
0.065,11.89,0.00777903828407597
0.065,11.9,0.00745218653558947
0.065,11.91,0.00713118269972797
0.065,11.92,0.00681600322977519
0.065,11.93,0.00650664139284385
0.065,11.94,0.00620310970594973
0.065,11.95,0.00590544297250667
0.065,11.96,0.00561370207525485
0.065,11.97,0.00532797872642543
0.065,11.98,0.00504840143360124
0.065,11.99,0.00477514301316624
0.065,12,0.00450843007506692
0.07375,8,0.0192670565195024
0.07375,8.01,0.0189368025709864
0.07375,8.02,0.0186084214278227
0.07375,8.03,0.0182819428325605
0.07375,8.04,0.0179573993890628
0.07375,8.05,0.0176348267967285
0.07375,8.06,0.0173142641045686
0.07375,8.07,0.01699575398699
0.07375,8.08,0.0166793430433029
0.07375,8.09,0.0163650821231272
0.07375,8.1,0.0160530266800461
0.07375,8.11,0.0157432371560223
0.07375,8.12,0.015435779399267
0.07375,8.13,0.0151307251184112
0.07375,8.14,0.0148281523759751
0.07375,8.15,0.0145281461242531
0.07375,8.16,0.0142307987868151
0.07375,8.17,0.0139362108888471
0.07375,8.18,0.0136444917394993
0.07375,8.19,0.0133557601692457
0.07375,8.2,0.0130701453249461
0.07375,8.21,0.0127877875247957
0.07375,8.22,0.0125088391745942
0.07375,8.23,0.0122334657456814
0.07375,8.24,0.0119618468134075
0.07375,8.25,0.0116941771530008
0.07375,8.26,0.0114306678870731
0.07375,8.27,0.0111715476756015
0.07375,8.28,0.010917063934912
0.07375,8.29,0.0106674840667825
0.07375,8.3,0.0104230966721375
0.07375,8.31,0.010184212715759
0.07375,8.32,0.00995116659889115
0.07375,8.33,0.00972431708553281
0.07375,8.34,0.00950404801569235
0.07375,8.35,0.0092907687251964
0.07375,8.36,0.00908491407735994
0.07375,8.37,0.00888694399783631
0.07375,8.38,0.00869734239162915
0.07375,8.39,0.00851661531242718
0.07375,8.4,0.00834528825153236
0.07375,8.41,0.0081839024195839
0.07375,8.42,0.00803300991222843
0.07375,8.43,0.00789316768397086
0.07375,8.44,0.00776493030514567
0.07375,8.45,0.00764884154634155
0.07375,8.46,0.007545424921481
0.07375,8.47,0.00745517342075104
0.07375,8.48,0.00737853876972673
0.07375,8.49,0.00731592064978635
0.07375,8.5,0.00726765639320855
0.07375,8.51,0.00723401170950081
0.07375,8.52,0.00721517299508964
0.07375,8.53,0.00721124171932322
0.07375,8.54,0.00722223126638623
0.07375,8.55,0.00724806645467964
0.07375,8.56,0.0072885857699477
0.07375,8.57,0.00734354615855156
0.07375,8.58,0.00741263005628694
0.07375,8.59,0.00749545419595144
0.07375,8.6,0.00759157965629277
0.07375,8.61,0.00770052259003817
0.07375,8.62,0.00782176509500461
0.07375,8.63,0.00795476575904554
0.07375,8.64,0.00809896950259579
0.07375,8.65,0.00825381644720641
0.07375,8.66,0.00841874964197228
0.07375,8.67,0.00859322157271481
0.07375,8.68,0.00877669945544637
0.07375,8.69,0.00896866937367574
0.07375,8.7,0.00916863935880901
0.07375,8.71,0.009376141536314
0.07375,8.72,0.00959073347041665
0.07375,8.73,0.00981199884012636
0.07375,8.74,0.0100395475723993
