"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0.065,9.87,108.580320210607
0.065,9.88,108.639430190356
0.065,9.89,108.695993758578
0.065,9.9,108.749969759938
0.065,9.91,108.80131340824
0.065,9.92,108.849976109192
0.065,9.93,108.895905267169
0.065,9.94,108.939044074644
0.065,9.95,108.979331282787
0.065,9.96,109.01670095157
0.065,9.97,109.051082177541
0.065,9.98,109.082398797225
0.065,9.99,109.110569063852
0.065,10,109.135505294902
0.065,10.01,109.157113487619
0.065,10.02,109.175292899327
0.065,10.03,109.189935589037
0.065,10.04,109.200925916369
0.065,10.05,109.208139993366
0.065,10.06,109.211445084217
0.065,10.07,109.210698947302
0.065,10.08,109.205749113249
0.065,10.09,109.196432091915
0.065,10.1,109.18257250024
0.065,10.11,109.163982101926
0.065,10.12,109.140458748621
0.065,10.13,109.111785210929
0.065,10.14,109.077727885954
0.065,10.15,109.038035366196
0.065,10.16,108.992436852508
0.065,10.17,108.940640391264
0.065,10.18,108.882330913021
0.065,10.19,108.817168046525
0.065,10.2,108.744783677944
0.065,10.21,108.664779220556
0.065,10.22,108.576722554621
0.065,10.23,108.48014459072
0.065,10.24,108.374535402204
0.065,10.25,108.259339863349
0.065,10.26,108.133952719062
0.065,10.27,107.997712999175
0.065,10.28,107.849897675044
0.065,10.29,107.689714437824
0.065,10.3,107.516293455684
0.065,10.31,107.328677940621
0.065,10.32,107.125813323297
0.065,10.33,106.906534795165
0.065,10.34,106.669552929538
0.065,10.35,106.413437035007
0.065,10.36,106.136595823251
0.065,10.37,105.83725488556
0.065,10.38,105.513430364179
0.065,10.39,105.162898070796
0.065,10.4,104.783157138579
0.065,10.41,104.371387088015
0.065,10.42,103.924396930183
0.065,10.43,103.438564611275
0.065,10.44,102.909764703613
0.065,10.45,102.333281752337
0.065,10.46,101.703706071492
0.065,10.47,101.014808024348
0.065,10.48,100.25938589685
0.065,10.49,99.429081362762
0.065,10.5,98.5141552458889
0.065,10.51,97.503214853221
0.065,10.52,96.3828827173433
0.065,10.53,95.1373954575036
0.065,10.54,93.7481212917318
0.065,10.55,92.1929867710269
0.065,10.56,90.4458099373542
0.065,10.57,88.4755526494714
0.065,10.58,86.2455368419201
0.065,10.59,83.7127306084452
0.065,10.6,80.8273197256937
0.065,10.61,77.5329645508669
0.065,10.62,73.7684246855548
0.065,10.63,69.4716032451189
0.065,10.64,64.5873932053646
0.065,10.65,59.0806193470166
0.065,10.66,52.954114476891
0.065,10.67,46.2687227991327
0.065,10.68,39.1571557794688
0.065,10.69,31.8205869844443
0.065,10.7,24.5013934659593
0.065,10.71,17.4386359493989
0.065,10.72,10.825002470494
0.065,10.73,4.78284726959705
0.065,10.74,-0.636190352948916
0.065,10.75,-5.43581607132217
0.065,10.76,-9.65497682618892
0.065,10.77,-13.3504081246295
0.065,10.78,-16.5844542188261
0.065,10.79,-19.4178417896235
0.065,10.8,-21.9060518050541
0.065,10.81,-24.0979405102668
0.065,10.82,-26.0356119022371
0.065,10.83,-27.7549050240934
0.065,10.84,-29.2861274462638
0.065,10.85,-30.654838518418
0.065,10.86,-31.8825874513937
0.065,10.87,-32.9875673403006
0.065,10.88,-33.9851753332265
0.065,10.89,-34.8884830815214
0.065,10.9,-35.708627391849
0.065,10.91,-36.455132618243
0.065,10.92,-37.1361759643947
0.065,10.93,-37.7588056656718
0.065,10.94,-38.3291205720182
0.065,10.95,-38.8524182353799
0.065,10.96,-39.3333173363483
0.065,10.97,-39.7758592007182
0.065,10.98,-40.1835922553614
0.065,10.99,-40.5596425354643
0.065,11,-40.9067727578586
0.065,11.01,-41.2274319939617
0.065,11.02,-41.5237975893661
0.065,11.03,-41.7978106670034
0.065,11.04,-42.051206301944
0.065,11.05,-42.2855392559148
0.065,11.06,-42.5022059986692
0.065,11.07,-42.702463613456
0.065,11.08,-42.8874460787894
0.065,11.09,-43.0581783334885
0.065,11.1,-43.2155884626021
0.065,11.11,-43.3605182852214
